FECHA,Registro_mp2_5
2016-07-25,76.9526
2016-07-26,124.319
2016-07-27,126.337
2016-07-28,53.2641
2016-07-29,45.0279
2016-07-30,42.1299
2016-07-31,36.3921
2016-08-01,109.06
2016-08-02,119.885
2016-08-03,51.2829
2016-08-04,69.8954
2016-08-05,51.81
2016-08-06,32.4729
2016-08-07,50.9324
2016-08-08,179.935
2016-08-09,149.616
2016-08-10,66.7117
2016-08-11,61.755
2016-08-12,63.7475
2016-08-13,52.7554
2016-08-14,50.7491
2016-08-15,35.4633
2016-08-16,30.5823
2016-08-17,27.5396
2016-08-18,41.8454
2016-08-19,51.1561
2016-08-20,113.13
2016-08-21,102.323
2016-08-22,115.186
2016-08-23,43.9633
2016-08-24,43.9687
2016-08-25,41.0004
2016-08-26,91.6877
2016-08-27,112.174
2016-08-28,94.5381
2016-08-29,44.6821
2016-08-30,59.9221
2016-08-31,94.3405
2016-09-01,170.508
2016-09-02,47.994
2016-09-03,14.3392
2016-09-04,42.3895
2016-09-05,122.025
2016-09-06,82.1366
2016-09-07,55.1804
2016-09-08,47.945
2016-09-09,40.5878
2016-09-10,63.6996
2016-09-11,35.4442
2016-09-12,20.789
2016-09-13,44.0994
2016-09-14,56.4508
2016-09-15,50.7421
2016-09-16,61.2078
2016-09-17,43.1716
2016-09-18,46.5132
2016-09-19,30.6212
2016-09-20,32.4463
2016-09-21,25.6823
2016-09-22,57.316
2016-09-23,37.6044
2016-09-24,37.9996
2016-09-25,29.9878
2016-09-26,38.3145
2016-09-27,32.7779
2016-09-28,32.6171
2016-09-29,19.33
2016-09-30,15.9464
2016-10-01,32.3411
2016-10-02,34.9163
2016-10-03,38.7296
2016-10-04,43.5149
2016-10-05,33.2493
2016-10-06,22.6715
2016-10-07,42.7595
2016-10-08,25.8414
2016-10-09,28.3881
2016-10-10,16.7387
2016-10-11,37.6
2016-10-12,36.7631
2016-10-13,21.5895
2016-10-14,27.5113
2016-10-15,24.5633
2016-10-16,41.089
2016-10-17,28.2618
2016-10-18,43.1071
2016-10-19,25.1374
2016-10-20,20.3552
2016-10-21,14.9128
2016-10-22,17.5645
2016-10-23,21.5904
2016-10-24,17.1328
2016-10-25,14.3599
2016-10-26,13.0719
2016-10-27,11.2601
2016-10-28,17.9193
2016-10-29,10.6617
2016-10-30,8.40187
2016-10-31,30.6891
2016-11-01,33.4138
2016-11-02,18.293
2016-11-03,9.6282
